Rank,NOC,Gold,Silver,Bronze,Total,Year,Host
14,Argentina,2,2,3,7,1936,0
14,Estonia,2,2,3,7,1936,0
16,Egypt,2,1,2,5,1936,0
17,Canada,1,3,5,9,1936,0
18,Norway,1,3,2,6,1936,0
19,Turkey,1,0,1,2,1936,0
20,India,1,0,0,1,1936,0
20,New Zealand,1,0,0,1,1936,0
22,Poland,0,4,5,9,1936,0
23,Denmark,0,2,3,5,1936,0
24,Latvia,0,1,1,2,1936,0
25,Romania,0,1,0,1,1936,0
25,South Africa,0,1,0,1,1936,0
25,Yugoslavia,0,1,0,1,1936,0
28,Belgium,0,0,3,3,1936,0
28,Mexico,0,0,3,3,1936,0
30,Australia,0,0,1,1,1936,0
30,Philippines,0,0,1,1,1936,0
30,Portugal,0,0,1,1,1936,0
1,United States,38,27,19,84,1948,0
2,Sweden,16,11,17,44,1948,0
3,France,10,6,13,29,1948,0
4,Hungary,10,5,12,27,1948,0
5,Italy,8,11,8,27,1948,0
6,Finland,8,7,5,20,1948,0
7,Turkey,6,4,2,12,1948,0
8,Czechoslovakia,6,2,3,11,1948,0
9,Switzerland,5,10,5,20,1948,0
10,Denmark,5,7,8,20,1948,0
11,Netherlands,5,2,9,16,1948,0
12,Great Britain,3,14,6,23,1948,0
13,Argentina,3,3,1,7,1948,0
14,Australia,2,6,5,13,1948,0
15,Belgium,2,2,3,7,1948,0
16,Egypt,2,2,1,5,1948,0
17,Mexico,2,1,2,5,1948,0
18,South Africa,2,1,1,4,1948,0
19,Norway,1,3,3,7,1948,0
20,Jamaica,1,2,0,3,1948,0
21,Austria,1,0,3,4,1948,0
22,India,1,0,0,1,1948,0
22,Peru,1,0,0,1,1948,0
24,Yugoslavia,0,2,0,2,1948,0
25,Canada,0,1,2,3,1948,0
26,Portugal,0,1,1,2,1948,0
26,Uruguay,0,1,1,2,1948,0
28,Ceylon,0,1,0,1,1948,0
28,Cuba,0,1,0,1,1948,0
28,Spain,0,1,0,1,1948,0
28,Trinidad and Tobago,0,1,0,1,1948,0
32,Panama,0,0,2,2,1948,0
32,South Korea,0,0,2,2,1948,0
34,Brazil,0,0,1,1,1948,0
34,Iran,0,0,1,1,1948,0
34,Poland,0,0,1,1,1948,0
34,Puerto Rico,0,0,1,1,1948,0
1,United States,40,19,17,76,1952,0
2,Soviet Union,22,30,19,71,1952,0
3,Hungary,16,10,16,42,1952,0
4,Sweden,12,13,10,35,1952,0
5,Italy,8,9,4,21,1952,0
6,Czechoslovakia,7,3,3,13,1952,0
7,France,6,6,6,18,1952,0
8,Finland,6,3,13,22,1952,1
9,Australia,6,2,3,11,1952,0
10,Norway,3,2,0,5,1952,0
11,Switzerland,2,6,6,14,1952,0
12,South Africa,2,4,4,10,1952,0
13,Jamaica,2,3,0,5,1952,0
14,Belgium,2,2,0,4,1952,0
15,Denmark,2,1,3,6,1952,0
16,Turkey,2,0,1,3,1952,0
17,Japan,1,6,2,9,1952,0
18,Great Britain,1,2,8,11,1952,0
19,Argentina,1,2,2,5,1952,0
20,Poland,1,2,1,4,1952,0
21,Canada,1,2,0,3,1952,0
21,Yugoslavia,1,2,0,3,1952,0
23,Romania,1,1,2,4,1952,0
24,Brazil,1,0,2,3,1952,0
24,New Zealand,1,0,2,3,1952,0
26,India,1,0,1,2,1952,0
27,Luxembourg,1,0,0,1,1952,0
28,Germany,0,7,17,24,1952,0
29,Netherlands,0,5,0,5,1952,0
30,Iran,0,3,4,7,1952,0
31,Chile,0,2,0,2,1952,0
32,Austria,0,1,1,2,1952,0
32,Lebanon,0,1,1,2,1952,0
34,Ireland,0,1,0,1,1952,0
34,Mexico,0,1,0,1,1952,0
34,Spain,0,1,0,1,1952,0
37,South Korea,0,0,2,2,1952,0
37,Trinidad and Tobago,0,0,2,2,1952,0
37,Uruguay,0,0,2,2,1952,0
40,Bulgaria,0,0,1,1,1952,0
40,Egypt,0,0,1,1,1952,0
40,Portugal,0,0,1,1,1952,0
40,Venezuela,0,0,1,1,1952,0
1,Soviet Union,37,29,32,98,1956,0
2,United States,32,25,17,74,1956,0
3,Australia,13,8,14,35,1956,1
4,Hungary,9,10,7,26,1956,0
5,Italy,8,8,9,25,1956,0
6,Sweden,8,5,6,19,1956,0
7,United Team of Germany,6,13,7,26,1956,0
8,Great Britain,6,7,11,24,1956,0
9,Romania,5,3,5,13,1956,0
10,Japan,4,10,5,19,1956,0
11,France,4,4,6,14,1956,0
12,Turkey,3,2,2,7,1956,0
13,Finland,3,1,11,15,1956,0
14,Iran,2,2,1,5,1956,0
15,Canada,2,1,3,6,1956,0
16,New Zealand,2,0,0,2,1956,0
17,Poland,1,4,4,9,1956,0
18,Czechoslovakia,1,4,1,6,1956,0
19,Bulgaria,1,3,1,5,1956,0
20,Denmark,1,2,1,4,1956,0
21,Ireland,1,1,3,5,1956,0
22,Norway,1,0,2,3,1956,0
23,Mexico,1,0,1,2,1956,0
24,Brazil,1,0,0,1,1956,0
24,India,1,0,0,1,1956,0
26,Yugoslavia,0,3,0,3,1956,0
27,Chile,0,2,2,4,1956,0
28,Belgium,0,2,0,2,1956,0
29,Argentina,0,1,1,2,1956,0
29,South Korea,0,1,1,2,1956,0
31,Iceland,0,1,0,1,1956,0
31,Pakistan,0,1,0,1,1956,0
33,South Africa,0,0,4,4,1956,0
34,Austria,0,0,2,2,1956,0
35,Bahamas,0,0,1,1,1956,0
35,Greece,0,0,1,1,1956,0
35,Switzerland,0,0,1,1,1956,0
35,Uruguay,0,0,1,1,1956,0
1,Soviet Union ,43,29,31,103,1960,0
2,United States ,34,21,16,71,1960,0
3,Italy ,13,10,13,36,1960,0
4,United Team of Germany ,12,19,11,42,1960,0
5,Australia ,8,8,6,22,1960,0
6,Turkey ,7,2,0,9,1960,0
7,Hungary ,6,8,7,21,1960,0
8,Japan ,4,7,7,18,1960,0
9,Poland ,4,6,11,21,1960,0
10,Czechoslovakia ,3,2,3,8,1960,0
11,Romania ,3,1,6,10,1960,0
12,Great Britain ,2,6,12,20,1960,0
13,Denmark ,2,3,1,6,1960,0
14,New Zealand ,2,0,1,3,1960,0
15,Bulgaria ,1,3,3,7,1960,0
16,Sweden ,1,2,3,6,1960,0
17,Finland ,1,1,3,5,1960,0
18,Austria ,1,1,0,2,1960,0
18,Yugoslavia ,1,1,0,2,1960,0
20,Pakistan ,1,0,1,2,1960,0
21,Ethiopia ,1,0,0,1,1960,0
21,Greece ,1,0,0,1,1960,0
21,Norway ,1,0,0,1,1960,0
24,Switzerland ,0,3,3,6,1960,0
25,France ,0,2,3,5,1960,0
26,Belgium ,0,2,2,4,1960,0
27,Iran ,0,1,3,4,1960,0
28,Netherlands ,0,1,2,3,1960,0
28,South Africa ,0,1,2,3,1960,0
30,Argentina ,0,1,1,2,1960,0
30,Egypt ,0,1,1,2,1960,0
32,Canada ,0,1,0,1,1960,0
32,Formosa ,0,1,0,1,1960,0
32,Ghana ,0,1,0,1,1960,0
32,India ,0,1,0,1,1960,0
32,Morocco ,0,1,0,1,1960,0
32,Portugal ,0,1,0,1,1960,0
32,Singapore ,0,1,0,1,1960,0
39,Brazil ,0,0,2,2,1960,0
39,British West Indies ,0,0,2,2,1960,0
41,Iraq ,0,0,1,1,1960,0
41,Mexico ,0,0,1,1,1960,0
41,Spain ,0,0,1,1,1960,0
41,Venezuela ,0,0,1,1,1960,0
1,United States,36,26,28,90,1964,0
2,Soviet Union,30,31,35,96,1964,0
3,Japan,16,5,8,29,1964,1
4,United Team of Germany,10,22,18,50,1964,0
5,Italy,10,10,7,27,1964,0
6,Hungary,10,7,5,22,1964,0
7,Poland,7,6,10,23,1964,0
8,Australia,6,2,10,18,1964,0
9,Czechoslovakia,5,6,3,14,1964,0
10,Great Britain,4,12,2,18,1964,0
11,Bulgaria,3,5,2,10,1964,0
12,Finland,3,0,2,5,1964,0
12,New Zealand,3,0,2,5,1964,0
14,Romania,2,4,6,12,1964,0
15,Netherlands,2,4,4,10,1964,0
16,Turkey,2,3,1,6,1964,0
17,Sweden,2,2,4,8,1964,0
18,Denmark,2,1,3,6,1964,0
19,Yugoslavia,2,1,2,5,1964,0
20,Belgium,2,0,1,3,1964,0
21,France,1,8,6,15,1964,0
22,Canada,1,2,1,4,1964,0
22,Switzerland,1,2,1,4,1964,0
24,Bahamas,1,0,0,1,1964,0
24,Ethiopia,1,0,0,1,1964,0
24,India,1,0,0,1,1964,0
27,South Korea,0,2,1,3,1964,0
28,Trinidad and Tobago,0,1,2,3,1964,0
29,Tunisia,0,1,1,2,1964,0
30,Argentina,0,1,0,1,1964,0
30,Cuba,0,1,0,1,1964,0
30,Pakistan,0,1,0,1,1964,0
30,Philippines,0,1,0,1,1964,0
34,Iran,0,0,2,2,1964,0
35,Brazil,0,0,1,1,1964,0
35,Ghana,0,0,1,1,1964,0
35,Ireland,0,0,1,1,1964,0
35,Kenya,0,0,1,1,1964,0
35,Mexico,0,0,1,1,1964,0
35,Nigeria,0,0,1,1,1964,0
35,Uruguay,0,0,1,1,1964,0
1,United States,45,28,34,107,1968,0
2,Soviet Union,29,32,30,91,1968,0
3,Japan,11,7,7,25,1968,0
4,Hungary,10,10,12,32,1968,0
5,East Germany,9,9,7,25,1968,0
6,France,7,3,5,15,1968,0
7,Czechoslovakia,7,2,4,13,1968,0
8,West Germany,5,11,10,26,1968,0
9,Australia,5,7,5,17,1968,0
10,Great Britain,5,5,3,13,1968,0
11,Poland,5,2,11,18,1968,0
12,Romania,4,6,5,15,1968,0
13,Italy,3,4,9,16,1968,0
14,Kenya,3,4,2,9,1968,0
15,Mexico,3,3,3,9,1968,1
16,Yugoslavia,3,3,2,8,1968,0
17,Netherlands,3,3,1,7,1968,0
18,Bulgaria,2,4,3,9,1968,0
19,Iran,2,1,2,5,1968,0
20,Sweden,2,1,1,4,1968,0
21,Turkey,2,0,0,2,1968,0
22,Denmark,1,4,3,8,1968,0
23,Canada,1,3,1,5,1968,0
24,Finland,1,2,1,4,1968,0
25,Ethiopia,1,1,0,2,1968,0
25,Norway,1,1,0,2,1968,0
27,New Zealand,1,0,2,3,1968,0
28,Tunisia,1,0,1,2,1968,0
29,Pakistan,1,0,0,1,1968,0
29,Venezuela,1,0,0,1,1968,0
31,Cuba,0,4,0,4,1968,0
32,Austria,0,2,2,4,1968,0
33,Switzerland,0,1,4,5,1968,0
34,Mongolia,0,1,3,4,1968,0
35,Brazil,0,1,2,3,1968,0
36,Belgium,0,1,1,2,1968,0
36,South Korea,0,1,1,2,1968,0
36,Uganda,0,1,1,2,1968,0
39,Cameroon,0,1,0,1,1968,0
39,Jamaica,0,1,0,1,1968,0
41,Argentina,0,0,2,2,1968,0
42,Greece,0,0,1,1,1968,0
42,India,0,0,1,1,1968,0
42,Taiwan,0,0,1,1,1968,0
1,Soviet Union,50,27,22,99,1972,0
2,United States,33,31,30,94,1972,0
3,East Germany,20,23,23,66,1972,0
4,West Germany,13,11,16,40,1972,0
5,Japan,13,8,8,29,1972,0
6,Australia,8,7,2,17,1972,0
7,Poland,7,5,9,21,1972,0
8,Hungary,6,13,16,35,1972,0
9,Bulgaria,6,10,5,21,1972,0
10,Italy,5,3,10,18,1972,0
11,Sweden,4,6,6,16,1972,0
12,Great Britain,4,5,9,18,1972,0
13,Romania,3,6,7,16,1972,0
14,Cuba,3,1,4,8,1972,0
14,Finland,3,1,4,8,1972,0
16,Netherlands,3,1,1,5,1972,0
17,France,2,4,7,13,1972,0
18,Czechoslovakia,2,4,2,8,1972,0
19,Kenya,2,3,4,9,1972,0
20,Yugoslavia,2,1,2,5,1972,0
21,Norway,2,1,1,4,1972,0
22,North Korea,1,1,3,5,1972,0
23,New Zealand,1,1,1,3,1972,0
24,Uganda,1,1,0,2,1972,0
25,Denmark,1,0,0,1,1972,0
26,Switzerland,0,3,0,3,1972,0
27,Canada,0,2,3,5,1972,0
28,Iran,0,2,1,3,1972,0
29,Belgium,0,2,0,2,1972,0
29,Greece,0,2,0,2,1972,0
31,Austria,0,1,2,3,1972,0
31,Colombia,0,1,2,3,1972,0
33,Argentina,0,1,0,1,1972,0
33,Lebanon,0,1,0,1,1972,0
33,Mexico,0,1,0,1,1972,0
33,Mongolia,0,1,0,1,1972,0
33,Pakistan,0,1,0,1,1972,0
33,South Korea,0,1,0,1,1972,0
33,Tunisia,0,1,0,1,1972,0
33,Turkey,0,1,0,1,1972,0
41,Brazil,0,0,2,2,1972,0
41,Ethiopia,0,0,2,2,1972,0
43,Ghana,0,0,1,1,1972,0
43,India,0,0,1,1,1972,0
43,Jamaica,0,0,1,1,1972,0
43,Niger,0,0,1,1,1972,0
43,Nigeria,0,0,1,1,1972,0
43,Spain,0,0,1,1,1972,0
1,Soviet Union,49,41,35,125,1976,0
2,East Germany,40,25,25,90,1976,0
3,United States,34,35,25,94,1976,0
4,West Germany,10,12,17,39,1976,0
5,Japan,9,6,10,25,1976,0
6,Poland,7,6,13,26,1976,0
7,Bulgaria,6,9,7,22,1976,0
8,Cuba,6,4,3,13,1976,0
9,Romania,4,9,14,27,1976,0
10,Hungary,4,5,13,22,1976,0
11,Finland,4,2,0,6,1976,0
12,Sweden,4,1,0,5,1976,0
13,Great Britain,3,5,5,13,1976,0
14,Italy,2,7,4,13,1976,0
15,France,2,3,4,9,1976,0
16,Yugoslavia,2,3,3,8,1976,0
17,Czechoslovakia,2,2,4,8,1976,0
18,New Zealand,2,1,1,4,1976,0
19,South Korea,1,1,4,6,1976,0
20,Switzerland,1,1,2,4,1976,0
21,Jamaica,1,1,0,2,1976,0
21,North Korea,1,1,0,2,1976,0
21,Norway,1,1,0,2,1976,0
24,Denmark,1,0,2,3,1976,0
25,Mexico,1,0,1,2,1976,0
26,Trinidad and Tobago,1,0,0,1,1976,0
27,Canada,0,5,6,11,1976,1
28,Belgium,0,3,3,6,1976,0
29,Netherlands,0,2,3,5,1976,0
30,Portugal,0,2,0,2,1976,0
30,Spain,0,2,0,2,1976,0
32,Australia,0,1,4,5,1976,0
33,Iran,0,1,1,2,1976,0
34,Mongolia,0,1,0,1,1976,0
34,Venezuela,0,1,0,1,1976,0
36,Brazil,0,0,2,2,1976,0
37,Austria,0,0,1,1,1976,0
37,Bermuda,0,0,1,1,1976,0
37,Pakistan,0,0,1,1,1976,0
37,Puerto Rico,0,0,1,1,1976,0
37,Thailand,0,0,1,1,1976,0
1,Soviet Union,80,69,46,195,1980,0
2,East Germany,47,37,42,126,1980,0
3,Bulgaria,8,16,17,41,1980,0
4,Cuba,8,7,5,20,1980,0
5,Italy,8,3,4,15,1980,0
6,Hungary,7,10,15,32,1980,0
7,Romania,6,6,13,25,1980,0
8,France,6,5,3,14,1980,0
9,Great Britain,5,7,9,21,1980,0
10,Poland,3,14,15,32,1980,0
11,Sweden,3,3,6,12,1980,0
12,Finland,3,1,4,8,1980,0
13,Czechoslovakia,2,3,9,14,1980,0
14,Yugoslavia,2,3,4,9,1980,0
15,Australia,2,2,5,9,1980,0
16,Denmark,2,1,2,5,1980,0
17,Brazil,2,0,2,4,1980,0
17,Ethiopia,2,0,2,4,1980,0
19,Switzerland,2,0,0,2,1980,0
20,Spain,1,3,2,6,1980,0
21,Austria,1,2,1,4,1980,0
22,Greece,1,0,2,3,1980,0
23,Belgium,1,0,0,1,1980,0
23,India,1,0,0,1,1980,0
23,Zimbabwe,1,0,0,1,1980,0
26,North Korea,0,3,2,5,1980,0
27,Mongolia,0,2,2,4,1980,0
28,Tanzania,0,2,0,2,1980,0
29,Mexico,0,1,3,4,1980,0
30,Netherlands,0,1,2,3,1980,0
31,Ireland,0,1,1,2,1980,0
32,Uganda,0,1,0,1,1980,0
32,Venezuela,0,1,0,1,1980,0
34,Jamaica,0,0,3,3,1980,0
35,Guyana,0,0,1,1,1980,0
35,Lebanon,0,0,1,1,1980,0
1,United States,83,61,30,174,1984,1
2,Romania,20,16,17,53,1984,0
3,West Germany,17,19,23,59,1984,0
4,China,15,8,9,32,1984,0
5,Italy,14,6,12,32,1984,0
6,Canada,10,18,16,44,1984,0
7,Japan,10,8,14,32,1984,0
8,New Zealand,8,1,2,11,1984,0
9,Yugoslavia,7,4,7,18,1984,0
10,South Korea,6,6,7,19,1984,0
11,Great Britain,5,11,21,37,1984,0
12,France,5,7,16,28,1984,0
13,Netherlands,5,2,6,13,1984,0
14,Australia,4,8,12,24,1984,0
15,Finland,4,2,6,12,1984,0
16,Sweden,2,11,6,19,1984,0
17,Mexico,2,3,1,6,1984,0
18,Morocco,2,0,0,2,1984,0
19,Brazil,1,5,2,8,1984,0
20,Spain,1,2,2,5,1984,0
21,Belgium,1,1,2,4,1984,0
22,Austria,1,1,1,3,1984,0
23,Kenya,1,0,2,3,1984,0
23,Portugal,1,0,2,3,1984,0
25,Pakistan,1,0,0,1,1984,0
26,Switzerland,0,4,4,8,1984,0
27,Denmark,0,3,3,6,1984,0
28,Jamaica,0,1,2,3,1984,0
28,Norway,0,1,2,3,1984,0
30,Greece,0,1,1,2,1984,0
30,Nigeria,0,1,1,2,1984,0
30,Puerto Rico,0,1,1,2,1984,0
33,Colombia,0,1,0,1,1984,0
33,Egypt,0,1,0,1,1984,0
33,Ireland,0,1,0,1,1984,0
33,Ivory Coast,0,1,0,1,1984,0
33,Peru,0,1,0,1,1984,0
33,Syria,0,1,0,1,1984,0
33,Thailand,0,1,0,1,1984,0
40,Turkey,0,0,3,3,1984,0
40,Venezuela,0,0,3,3,1984,0
42,Algeria,0,0,2,2,1984,0
43,Cameroon,0,0,1,1,1984,0
43,Chinese Taipei,0,0,1,1,1984,0
43,Dominican Republic,0,0,1,1,1984,0
43,Iceland,0,0,1,1,1984,0
43,Zambia,0,0,1,1,1984,0
1,Soviet Union,55,31,46,132,1988,0
2,East Germany,37,35,30,102,1988,0
3,United States,36,31,27,94,1988,0
4,South Korea,12,10,11,33,1988,1
5,West Germany,11,14,15,40,1988,0
6,Hungary,11,6,6,23,1988,0
7,Bulgaria,10,12,13,35,1988,0
8,Romania,7,11,6,24,1988,0
9,France,6,4,6,16,1988,0
10,Italy,6,4,4,14,1988,0
11,China,5,11,12,28,1988,0
12,Great Britain,5,10,9,24,1988,0
13,Kenya,5,2,2,9,1988,0
14,Japan,4,3,7,14,1988,0
15,Australia,3,6,5,14,1988,0
16,Yugoslavia,3,4,5,12,1988,0
17,Czechoslovakia,3,3,2,8,1988,0
18,New Zealand,3,2,8,13,1988,0
19,Canada,3,2,5,10,1988,0
20,Poland,2,5,9,16,1988,0
21,Norway,2,3,0,5,1988,0
22,Netherlands,2,2,5,9,1988,0
23,Denmark,2,1,1,4,1988,0
24,Brazil,1,2,3,6,1988,0
25,Finland,1,1,2,4,1988,0
25,Spain,1,1,2,4,1988,0
27,Turkey,1,1,0,2,1988,0
28,Morocco,1,0,2,3,1988,0
29,Austria,1,0,0,1,1988,0
29,Portugal,1,0,0,1,1988,0
29,Suriname,1,0,0,1,1988,0
32,Sweden,0,4,7,11,1988,0
33,Switzerland,0,2,2,4,1988,0
34,Jamaica,0,2,0,2,1988,0
35,Argentina,0,1,1,2,1988,0
36,Chile,0,1,0,1,1988,0
36,Costa Rica,0,1,0,1,1988,0
36,Indonesia,0,1,0,1,1988,0
36,Iran,0,1,0,1,1988,0
36,Netherlands Antilles,0,1,0,1,1988,0
36,Peru,0,1,0,1,1988,0
36,Senegal,0,1,0,1,1988,0
36,Virgin Islands,0,1,0,1,1988,0
44,Belgium,0,0,2,2,1988,0
44,Mexico,0,0,2,2,1988,0
46,Colombia,0,0,1,1,1988,0
46,Djibouti,0,0,1,1,1988,0
46,Greece,0,0,1,1,1988,0
46,Mongolia,0,0,1,1,1988,0
46,Pakistan,0,0,1,1,1988,0
