Year,Afghanistan,Albania,Algeria,Argentina,Argentina ,Armenia,Australasia,Australia,Australia ,Austria,Austria ,Azerbaijan,Bahamas,Bahrain,Barbados,Belarus,Belgium,Belgium ,Bermuda,Bohemia,Botswana,Brazil,Brazil ,British West Indies ,Bulgaria,Bulgaria ,Burkina Faso,Burundi,Cabo Verde,Cameroon,Canada,Canada ,Ceylon,Chile,China,Chinese Taipei,Colombia,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Czechoslovakia,Czechoslovakia ,Denmark,Denmark ,Djibouti,Dominica,Dominican Republic,East Germany,Ecuador,Egypt,Egypt ,Eritrea,Estonia,Ethiopia,Ethiopia ,FR Yugoslavia,Fiji,Finland,Finland ,Formosa ,France,France ,Gabon,Georgia,Germany,Germany ,Ghana,Ghana ,Great Britain,Great Britain ,Greece,Greece ,Grenada,Guatemala,Guyana,Haiti,Hong Kong,Hungary,Hungary ,Iceland,Independent Olympic Athletes,Independent Olympic Participants,India,India ,Indonesia,Iran,Iran ,Iraq ,Ireland,Ireland ,Israel,Italy,Italy ,Ivory Coast,Jamaica,Japan,Japan ,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Latvia,Latvia ,Lebanon,Lithuania,Luxembourg,Macedonia,Malaysia,Mauritius,Mexico,Mexico ,Mixed team,Moldova,Mongolia,Montenegro,Morocco,Morocco ,Mozambique,Namibia,Netherlands,Netherlands Antilles,Netherlands ,New Zealand,New Zealand ,Niger,Nigeria,North Korea,North Macedonia,Norway,Norway ,Pakistan,Pakistan ,Panama,Paraguay,Peru,Philippines,Philippines ,Poland,Poland ,Portugal,Portugal ,Puerto Rico,Qatar,ROC,Refugee Olympic Team,Romania,Romania ,Russia,Russian Empire,Saint Lucia,Samoa,San Marino,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Singapore,Singapore ,Slovakia,Slovenia,South Africa,South Africa ,South Korea,Soviet Union,Soviet Union ,Spain,Spain ,Sri Lanka,Sudan,Suriname,Sweden,Sweden ,Switzerland,Switzerland ,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkey ,Turkmenistan,Uganda,Ukraine,Unified Team,United Arab Emirates,United States,United States ,United Team of Germany,United Team of Germany ,Uruguay,Uruguay ,Uzbekistan,Venezuela,Venezuela ,Vietnam,Virgin Islands,West Germany,Yugoslavia,Yugoslavia ,Zambia,Zimbabwe
1948,0,0,0,7,0,0,0,13,0,4,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,11,0,20,0,0,0,0,0,0,5,0,0,0,0,0,0,0,20,0,0,29,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,27,0,0,0,0,1,0,0,1,0,0,0,0,0,27,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,7,0,0,0,2,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,44,0,20,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,84,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
1952,0,0,0,5,0,0,0,11,0,2,0,0,0,0,0,0,4,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,13,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,18,0,0,0,24,0,0,0,11,0,0,0,0,0,0,0,0,42,0,0,0,0,2,0,0,7,0,0,1,0,0,21,0,0,5,9,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,71,0,1,0,0,0,0,35,0,14,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,76,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0
1956,0,0,0,2,0,0,0,35,0,2,0,0,1,0,0,0,2,0,0,0,0,1,0,0,5,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,14,0,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,26,0,1,0,0,1,0,0,5,0,0,5,0,0,25,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,98,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,74,0,26,0,1,0,0,0,0,0,0,0,3,0,0,0
1960,0,0,0,0,2,0,0,0,22,0,2,0,0,0,0,0,0,4,0,0,0,0,2,2,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,2,0,0,0,1,0,0,0,5,1,0,5,0,0,0,0,0,1,0,20,0,1,0,0,0,0,0,0,21,0,0,0,0,1,0,0,4,1,0,0,0,0,36,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,21,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,103,0,1,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,71,0,42,0,0,0,0,1,0,0,0,0,2,0,0
1964,0,0,0,1,0,0,0,18,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,14,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,15,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,2,0,0,1,0,0,27,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,23,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,96,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,3,2,6,0,0,0,0,0,0,90,0,50,0,1,0,0,0,0,0,0,0,5,0,0,0
1968,0,0,0,2,0,0,0,17,0,4,0,0,0,0,0,0,2,0,0,0,0,3,0,0,9,0,0,0,0,1,5,0,0,0,0,0,0,0,0,4,0,0,13,0,8,0,0,0,0,25,0,0,0,0,0,2,0,0,0,4,0,0,15,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,32,0,0,0,0,1,0,0,5,0,0,0,0,0,16,0,0,1,25,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,7,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,91,0,0,0,0,0,0,4,0,5,0,0,1,0,0,0,0,0,0,2,2,0,0,2,0,0,0,107,0,0,0,0,0,0,1,0,0,0,26,8,0,0,0
1972,0,0,0,1,0,0,0,17,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,21,0,0,0,0,0,5,0,0,0,0,0,3,0,0,8,0,0,8,0,1,0,0,0,0,66,0,0,0,0,0,2,0,0,0,8,0,0,13,0,0,0,0,0,1,0,18,0,2,0,0,0,0,0,0,35,0,0,0,0,1,0,0,3,0,0,0,0,0,18,0,0,1,29,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,3,0,1,1,5,0,4,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0,1,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,94,0,0,0,0,0,0,0,0,0,0,40,5,0,0,0
1976,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,6,0,1,0,0,2,0,0,22,0,0,0,0,0,11,0,0,0,0,0,0,0,0,13,0,0,8,0,3,0,0,0,0,90,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,0,0,4,0,0,0,2,0,2,0,1,0,0,0,0,0,0,26,0,2,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,125,0,2,0,0,0,0,5,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,1,0,0,0,39,8,0,0,0
1980,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,1,0,0,0,0,4,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,14,0,5,0,0,0,0,126,0,0,0,0,0,4,0,0,0,8,0,0,14,0,0,0,0,0,0,0,21,0,3,0,0,0,1,0,0,32,0,0,0,0,1,0,0,0,0,0,2,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,6,0,0,0,0,12,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,1
1984,0,0,2,0,0,0,0,24,0,3,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,1,44,0,0,0,32,1,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,12,0,0,28,0,0,0,0,0,0,0,37,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,32,0,1,3,32,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,13,0,0,11,0,0,2,0,0,3,0,1,0,0,0,1,0,0,0,0,3,0,2,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,5,0,0,0,0,19,0,8,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,174,0,0,0,0,0,0,3,0,0,0,59,18,0,1,0
1988,0,0,0,2,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,6,0,0,35,0,0,0,0,0,10,0,0,1,28,0,1,1,0,0,0,0,8,0,4,0,1,0,0,102,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,1,1,0,0,0,0,0,14,0,0,2,14,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,9,1,0,13,0,0,0,0,0,5,0,1,0,0,0,1,1,0,16,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,132,0,4,0,0,0,1,11,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,1,40,12,0,0,0
1992,0,0,2,1,0,0,0,27,0,2,0,0,1,0,0,0,3,0,0,0,0,3,0,0,16,0,0,0,0,0,18,0,0,0,54,1,1,0,3,31,0,0,7,0,6,0,0,0,0,0,0,0,0,0,2,3,0,0,0,5,0,0,29,0,0,0,82,0,1,0,20,0,2,0,0,0,0,0,0,30,0,0,0,3,0,0,5,3,0,0,2,0,2,19,0,0,4,22,0,0,0,8,0,0,0,3,0,0,2,0,0,1,0,1,0,0,0,2,0,3,0,0,2,15,0,0,10,0,0,4,9,0,7,0,1,0,0,0,1,1,0,19,0,0,0,1,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,29,0,0,22,0,0,0,1,12,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,112,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,3,3,0,2,0,41,0,3,0,1,1,0,0,15,6,0,0,0,0,15,0,0,15,0,0,1,0,0,22,0,0,0,50,1,0,1,2,25,0,11,0,0,6,0,0,0,0,0,1,0,0,0,0,3,0,4,0,4,0,0,37,0,0,2,65,0,0,0,15,0,8,0,0,0,0,0,1,21,0,0,0,0,1,0,4,3,0,0,4,0,1,35,0,0,6,14,0,0,11,8,0,0,0,1,0,0,1,0,0,2,0,1,0,0,2,1,0,2,0,1,2,19,0,0,6,0,0,6,5,0,7,0,0,0,0,0,0,1,0,17,0,2,0,1,0,0,0,20,0,63,0,0,0,0,0,0,0,0,0,0,3,2,5,0,27,0,0,17,0,0,0,0,8,0,7,0,1,0,0,0,2,0,1,2,1,6,0,0,1,23,0,0,101,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
2000,0,0,5,4,0,1,0,58,0,3,0,3,3,0,1,17,5,0,0,0,0,12,0,0,13,0,0,0,0,1,14,0,0,1,58,5,1,2,2,29,0,8,0,0,6,0,0,0,0,0,0,0,0,0,3,8,0,3,0,4,0,0,38,0,0,6,56,0,0,0,28,0,13,0,0,0,0,0,0,17,0,1,0,0,1,0,6,4,0,0,1,0,1,34,0,0,9,18,0,0,7,7,0,1,1,3,0,0,5,0,1,0,0,6,0,0,2,0,0,5,0,1,0,25,0,0,4,0,0,3,4,0,10,0,0,0,0,0,0,0,0,14,0,2,0,0,1,0,0,26,0,89,0,0,0,0,2,0,0,0,0,0,5,2,5,0,28,0,0,11,0,1,0,0,12,0,9,0,0,0,0,0,3,0,0,2,0,5,0,0,0,23,0,0,93,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0
2004,0,0,0,6,0,0,0,50,0,7,0,5,2,0,0,13,3,0,0,0,0,10,0,0,12,0,0,0,0,1,12,0,0,3,63,5,2,0,5,27,0,9,0,0,8,0,0,0,1,0,0,5,0,1,3,7,0,0,0,2,0,0,33,0,0,4,49,0,0,0,30,0,16,0,0,0,0,0,1,17,0,0,0,0,1,0,4,6,0,0,0,0,2,32,0,0,5,37,0,0,8,7,0,0,0,4,0,0,3,0,0,0,0,4,0,0,0,1,0,3,0,0,0,22,0,0,5,0,0,2,5,0,6,0,0,0,0,1,0,0,0,10,0,3,0,0,0,0,0,19,0,90,0,0,0,0,0,0,0,2,0,0,6,4,6,0,30,0,0,20,0,0,0,0,7,0,5,0,1,0,0,0,8,0,0,1,0,10,0,0,0,22,0,1,101,0,0,0,0,0,5,2,0,0,0,0,0,0,0,3
2008,1,0,2,6,0,5,0,46,0,3,0,6,2,0,0,14,2,0,0,0,0,17,0,0,5,0,0,0,0,1,20,0,0,1,100,4,3,0,5,30,0,7,0,0,7,0,0,0,2,0,1,2,0,0,2,7,0,0,0,4,0,0,43,0,0,7,41,0,0,0,51,0,3,0,0,0,0,0,0,10,0,1,0,0,3,0,6,2,0,0,3,0,1,27,0,0,11,25,0,0,9,16,0,0,3,3,0,0,5,0,0,1,1,4,0,0,1,4,0,2,0,0,0,16,0,0,9,0,0,5,6,0,9,0,0,0,1,0,0,0,0,11,0,2,0,0,0,0,0,9,0,60,0,0,1,0,0,0,3,0,1,0,6,5,1,0,32,0,0,19,0,0,1,0,5,0,7,0,0,0,2,0,6,1,0,2,1,5,0,0,0,22,0,0,112,0,0,0,0,0,4,1,0,1,0,0,0,0,0,4
2012,1,0,1,4,0,2,0,35,0,0,0,9,1,1,0,10,3,0,0,0,1,17,0,0,3,0,0,0,0,1,18,0,0,0,92,2,9,0,6,15,1,11,0,0,9,0,0,0,2,0,0,4,0,0,2,8,0,0,0,3,0,0,35,0,1,6,44,0,0,0,65,0,2,0,1,1,0,0,1,18,0,0,0,0,6,0,3,13,0,0,6,0,0,28,0,0,13,38,0,0,11,13,0,1,0,2,0,0,5,0,0,2,0,8,0,0,0,5,1,1,0,0,0,20,0,0,13,0,0,0,6,0,4,0,0,0,0,0,0,0,0,11,0,1,0,2,2,0,0,7,0,65,0,0,0,0,1,0,4,0,2,0,4,4,6,0,31,0,0,20,0,0,0,0,8,0,4,0,0,0,1,0,4,0,0,4,3,3,0,0,1,19,0,0,104,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0
